### data for cmdb ####
2019-11-25;slave-node1;db_taille;yata1;22.16
2019-11-25;slave-node1;db_taille;yata2;20.16
2019-11-25;slave-node1;db_taille;yata3;9.56
2019-11-25;slave-node1;db_tables;yata1;10
2019-11-25;slave-node1;db_tables;yata2;10
2019-11-25;slave-node1;db_tables;yata3;10
2019-11-25;slave-node1;db_lines;yata1;table1;300
2019-11-25;slave-node1;db_lines;yata1;table10;113
2019-11-25;slave-node1;db_lines;yata1;table2;290
2019-11-25;slave-node1;db_lines;yata1;table3;324
2019-11-25;slave-node1;db_lines;yata1;table4;194
2019-11-25;slave-node1;db_lines;yata1;table5;321
2019-11-25;slave-node1;db_lines;yata1;table6;149
2019-11-25;slave-node1;db_lines;yata1;table7;375
2019-11-25;slave-node1;db_lines;yata1;table8;327
2019-11-25;slave-node1;db_lines;yata1;table9;324
2019-11-25;slave-node1;db_lines;yata2;table1;276
2019-11-25;slave-node1;db_lines;yata2;table10;330
2019-11-25;slave-node1;db_lines;yata2;table2;318
2019-11-25;slave-node1;db_lines;yata2;table3;357
2019-11-25;slave-node1;db_lines;yata2;table4;378
2019-11-25;slave-node1;db_lines;yata2;table5;162
2019-11-25;slave-node1;db_lines;yata2;table6;118
2019-11-25;slave-node1;db_lines;yata2;table7;360
2019-11-25;slave-node1;db_lines;yata2;table8;270
2019-11-25;slave-node1;db_lines;yata2;table9;249
2019-11-25;slave-node1;db_lines;yata3;table1;8
2019-11-25;slave-node1;db_lines;yata3;table10;360
2019-11-25;slave-node1;db_lines;yata3;table2;72
2019-11-25;slave-node1;db_lines;yata3;table3;153
2019-11-25;slave-node1;db_lines;yata3;table4;19
2019-11-25;slave-node1;db_lines;yata3;table5;226
2019-11-25;slave-node1;db_lines;yata3;table6;33
2019-11-25;slave-node1;db_lines;yata3;table7;255
2019-11-25;slave-node1;db_lines;yata3;table8;55
2019-11-25;slave-node1;db_lines;yata3;table9;258
2019-11-25;slave-node1;db_vol_physique;yata1;98M;/var/lib/mysql/yata1
2019-11-25;slave-node1;db_vol_physique;yata2;96M;/var/lib/mysql/yata2
2019-11-25;slave-node1;db_vol_physique;yata3;48M;/var/lib/mysql/yata3
2019-11-25;slave-node1;system;32.505;Ubuntu 16.04.6 LTS;1.9
