### data for cmdb ####
2019-11-25;slave-node;db_taille;yata1;11.47
2019-11-25;slave-node;db_taille;yata2;16.11
2019-11-25;slave-node;db_taille;yata3;14.67
2019-11-25;slave-node;db_tables;yata1;10
2019-11-25;slave-node;db_tables;yata2;10
2019-11-25;slave-node;db_tables;yata3;10
2019-11-25;slave-node;db_lines;yata1;table1;118
2019-11-25;slave-node;db_lines;yata1;table10;214
2019-11-25;slave-node;db_lines;yata1;table2;237
2019-11-25;slave-node;db_lines;yata1;table3;275
2019-11-25;slave-node;db_lines;yata1;table4;28
2019-11-25;slave-node;db_lines;yata1;table5;200
2019-11-25;slave-node;db_lines;yata1;table6;72
2019-11-25;slave-node;db_lines;yata1;table7;216
2019-11-25;slave-node;db_lines;yata1;table8;197
2019-11-25;slave-node;db_lines;yata1;table9;74
2019-11-25;slave-node;db_lines;yata2;table1;92
2019-11-25;slave-node;db_lines;yata2;table10;84
2019-11-25;slave-node;db_lines;yata2;table2;249
2019-11-25;slave-node;db_lines;yata2;table3;243
2019-11-25;slave-node;db_lines;yata2;table4;237
2019-11-25;slave-node;db_lines;yata2;table5;327
2019-11-25;slave-node;db_lines;yata2;table6;213
2019-11-25;slave-node;db_lines;yata2;table7;339
2019-11-25;slave-node;db_lines;yata2;table8;270
2019-11-25;slave-node;db_lines;yata2;table9;327
2019-11-25;slave-node;db_lines;yata3;table1;156
2019-11-25;slave-node;db_lines;yata3;table10;121
2019-11-25;slave-node;db_lines;yata3;table2;127
2019-11-25;slave-node;db_lines;yata3;table3;232
2019-11-25;slave-node;db_lines;yata3;table4;124
2019-11-25;slave-node;db_lines;yata3;table5;78
2019-11-25;slave-node;db_lines;yata3;table6;22
2019-11-25;slave-node;db_lines;yata3;table7;229
2019-11-25;slave-node;db_lines;yata3;table8;351
2019-11-25;slave-node;db_lines;yata3;table9;357
2019-11-25;slave-node;db_vol_physique;yata1;65M;/var/lib/mysql/yata1
2019-11-25;slave-node;db_vol_physique;yata2;77M;/var/lib/mysql/yata2
2019-11-25;slave-node;db_vol_physique;yata3;75M;/var/lib/mysql/yata3
2019-11-25;slave-node;system;66.984;Ubuntu 16.04.6 LTS;3.8
